Rk,Name,Age,Team,WAR,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,rOBA,Rbat+,TB,GIDP,HBP,SH,SF,IBB,Pos,Awards,Player-additional
205,Ángel Martínez#,22,CLE,0.1,43,169,151,16,35,7,0,3,11,3,1,15,33,0.232,0.298,0.338,0.635,81,0.286,80,51,2,0,1,2,0,87/9H5D4,,martian02
206,Reese McGuire*,29,BOS,0.1,53,158,139,10,29,3,0,3,18,3,0,13,39,0.209,0.28,0.295,0.575,61,0.269,60,41,4,2,1,3,0,2/HD,,mcguire01
207,Danny Mendick,30,CHW,-0.3,47,141,132,13,26,7,0,3,8,6,0,6,35,0.197,0.243,0.318,0.561,60,0.255,53,42,3,2,1,0,0,54H/1D,,mendida01
208,Christopher Morel,25,TBR,-0.8,49,190,173,13,33,4,2,3,9,1,2,14,56,0.191,0.258,0.289,0.547,57,0.241,53,50,4,2,0,1,1,4D7/H,,morelch01
209,Bryan Ramos,22,CHW,-0.2,32,108,99,13,20,4,0,3,11,0,2,7,22,0.202,0.252,0.333,0.586,67,0.273,80,33,3,0,0,1,0,5/DH,,ramosbr01
210,Ben Rortvedt*,26,TBR,0.9,112,328,290,27,66,13,0,3,31,1,0,34,88,0.228,0.317,0.303,0.621,80,0.287,83,88,6,4,0,0,0,*2H/1,,rortvbe01
211,José Abreu,37,HOU,-1.7,35,120,113,10,14,2,0,2,7,0,0,4,28,0.124,0.167,0.195,0.361,4,0.163,-5,22,4,2,0,1,0,3/H,,abreujo02
212,Akil Baddoo*,25,DET,-0.5,31,82,73,7,10,2,2,2,5,1,0,8,27,0.137,0.22,0.301,0.521,47,0.23,39,22,0,0,0,1,0,7/89H,,baddoak01
213,Brooks Baldwin#,23,CHW,0,33,121,114,9,24,6,0,2,8,4,0,6,31,0.211,0.25,0.316,0.566,62,0.263,60,36,1,0,1,0,0,6-Apr,,baldwbr01
214,Cavan Biggio*,29,TOR,0.5,44,131,110,15,22,4,0,2,9,2,0,14,42,0.2,0.323,0.291,0.614,78,0.29,82,32,1,6,0,0,0,49/H35D,,biggica01
215,Ryan Bliss,24,SEA,0.4,33,71,63,10,14,3,1,2,9,5,3,5,22,0.222,0.29,0.397,0.687,102,0.292,98,25,1,1,2,0,0,4H/D,,blissry01
216,Zach Dezenzo,24,HOU,-0.2,19,65,62,5,15,2,0,2,8,0,0,3,22,0.242,0.277,0.371,0.648,84,0.307,98,23,3,0,0,0,0,3/5DH,,dezenza01
217,Jasson Domínguez#,21,NYY,-0.1,18,67,56,8,10,1,0,2,4,5,0,11,19,0.179,0.313,0.304,0.617,77,0.315,88,17,0,0,0,0,0,7/8HD,,dominja01
218,Austin Hedges,31,CLE,-0.6,66,146,132,12,20,3,0,2,15,2,0,6,50,0.152,0.203,0.22,0.422,21,0.199,14,29,2,3,3,2,0,1-Feb,,hedgeau01
219,Charles Leblanc,28,LAA,0.1,11,28,21,6,4,0,0,2,6,0,0,7,9,0.19,0.393,0.476,0.869,146,0.378,145,10,0,0,0,0,0,/543D,,leblach01
220,DJ LeMahieu,35,NYY,-1.6,67,228,201,19,41,5,0,2,26,0,1,19,35,0.204,0.269,0.259,0.527,51,0.244,51,52,13,1,1,6,0,35/H,,lemahdj01
221,Tyler Locklear,23,SEA,-0.3,16,49,45,3,7,1,0,2,3,1,0,3,20,0.156,0.224,0.311,0.536,57,0.241,55,14,3,1,0,0,0,3/H,,locklty01
222,Ryan McKenna,27,BAL,0.1,9,9,8,3,3,0,0,2,2,0,1,1,1,0.375,0.444,1.125,1.569,341,0.563,326,9,0,0,0,0,0,/9H78,,mckenry01
223,Connor Norby,24,BAL,0.1,9,32,32,3,6,1,0,2,3,0,0,0,12,0.188,0.188,0.406,0.594,68,0.247,60,13,1,0,0,0,0,/4,,norbyco01
224,René Pinto,27,TBR,-0.1,19,49,42,5,9,3,0,2,6,0,0,4,18,0.214,0.292,0.429,0.72,104,0.306,97,18,0,1,1,1,0,2,,pintore02
225,Amed Rosario,28,TBR,0.5,76,275,264,22,81,17,3,2,26,9,4,7,48,0.307,0.331,0.417,0.748,114,0.333,116,110,9,3,0,1,0,4956DH,,rosaram01
226,Esteury Ruiz,25,OAK,-0.1,29,65,55,10,11,2,1,2,8,5,4,4,20,0.2,0.27,0.382,0.652,87,0.266,80,21,1,2,2,2,0,7H/8,,ruizes01
227,Miguel Sanó,31,LAA,-0.1,28,95,83,9,17,3,0,2,6,0,0,9,36,0.205,0.295,0.313,0.608,73,0.272,70,26,2,2,0,1,0,5/D3H1,,sanomi01
228,Trevor Story,31,BOS,0.7,26,106,94,8,24,7,0,2,10,6,3,11,33,0.255,0.34,0.394,0.733,104,0.325,104,37,2,1,0,0,2,6,,storytr01
229,Matt Thaiss*,29,LAA,0.6,57,186,157,14,32,9,0,2,16,3,0,28,58,0.204,0.323,0.299,0.622,79,0.295,83,47,2,0,0,1,0,2/DH,,thaisma01
230,Miguel Vargas,24,CHW,-1,42,157,135,11,14,3,0,2,7,2,1,17,41,0.104,0.217,0.17,0.387,14,0.205,25,23,3,3,0,2,0,5/D7H,,vargami01
231,Eric Wagaman,26,LAA,0.4,18,74,72,6,18,5,0,2,10,0,0,2,17,0.25,0.27,0.403,0.673,88,0.291,83,29,1,0,0,0,0,5/7H,,wagamer01
232,Will Wagner*,25,TOR,0.7,24,86,82,8,25,6,0,2,11,0,0,4,16,0.305,0.337,0.451,0.788,124,0.354,130,37,3,0,0,0,0,4/H3D,,wagnewi01
233,Jamie Westbrook,29,BOS,-0.1,21,48,40,4,6,2,0,2,7,0,0,4,14,0.15,0.234,0.35,0.584,60,0.271,63,14,0,1,0,2,0,4/H59D,,westbja02
234,Jordyn Adams,24,LAA,-0.2,11,38,35,4,8,0,0,1,4,2,0,3,12,0.229,0.289,0.314,0.604,72,0.28,67,11,1,0,0,0,0,/987H,,adamsjo03
